ts,token,event_seq,symbol,tier,policy,side,frac_of_original,px,usd_proceeds,gap_s,note
1789220613.594589,0xbed21fc650b2642b57355bc5c1da259d041cb2a7,3,Dojo,B,stop_30,stop,1.0,9.321248328473814e-23,6.115062,65.5,
1789220613.594589,0xbed21fc650b2642b57355bc5c1da259d041cb2a7,3,Dojo,B,trail_50,trail,1.0,9.321248328473814e-23,6.115062,65.5,
1789220681.5834932,0x94f17efe3540873e1447f3e3640efd4abac3572c,6,DEGENFLY,B,*,buy,1.0,6.881582144877331e-23,-9.99912,0.0,"shared entry via kyber, impact 1.7069, reserve_weth ?; buy 0.00393902 WETH ($10.00) → 1.45e+23 raw via kyber impact 1.71%"
1789220750.9179578,0x94f17efe3540873e1447f3e3640efd4abac3572c,6,DEGENFLY,B,ctl_exit_immediately,time_exit,1.0,7.117376367910951e-23,10.341735,69.3,
1789220884.472666,0xbed21fc650b2642b57355bc5c1da259d041cb2a7,3,Dojo,B,sell_15m,time_exit,1.0,1.4307335303831994e-22,9.386107,67.4,
1789220884.472666,0x834559fa563b5ffbcb2bf620c08f5c05738a257f,4,FOMO,B,sell_15m,time_exit,1.0,3.953140384522648e-14,9.708095,67.4,
1789220884.472666,0xe7a8220fa9d8803b14c178b295dd1cb07370a307,5,TOPBLAST,B,sell_15m,time_exit,1.0,7.573171936664086e-23,6.845571,67.4,
1789221015.6133518,0x94f17efe3540873e1447f3e3640efd4abac3572c,6,DEGENFLY,B,trail_30,trail,1.0,8.46769297312039e-23,12.30378,65.6,
1789221015.6133518,0x94f17efe3540873e1447f3e3640efd4abac3572c,6,DEGENFLY,B,tp2_half_trail30,trail,1.0,8.46769297312039e-23,12.30378,65.6,
1789221015.6133518,0x94f17efe3540873e1447f3e3640efd4abac3572c,6,DEGENFLY,B,cfg_ladder_trail30_6h,trail,1.0,8.46769297312039e-23,12.30378,65.6,
1789221211.735612,0xe7a8220fa9d8803b14c178b295dd1cb07370a307,5,TOPBLAST,B,stop_50,stop,1.0,5.360300166025956e-23,4.845303,65.0,
1789221211.735612,0xe7a8220fa9d8803b14c178b295dd1cb07370a307,5,TOPBLAST,B,cfg_ladder_stop,stop,1.0,5.360300166025956e-23,4.845303,65.0,
1789221211.735612,0xe7a8220fa9d8803b14c178b295dd1cb07370a307,5,TOPBLAST,B,trail_50,trail,1.0,5.360300166025956e-23,4.845303,65.0,
1789221211.735612,0xe7a8220fa9d8803b14c178b295dd1cb07370a307,5,TOPBLAST,B,tp2_half_stop50_6h,stop,1.0,5.360300166025956e-23,4.845303,65.0,
1789221278.643279,0x94f17efe3540873e1447f3e3640efd4abac3572c,6,DEGENFLY,B,trail_50,trail,1.0,5.0738245335233076e-23,7.3724,66.9,
1789221344.5441868,0x94f17efe3540873e1447f3e3640efd4abac3572c,6,DEGENFLY,B,stop_30,stop,1.0,4.387418875473603e-23,6.375035,65.9,
1789221409.0217621,0xbed21fc650b2642b57355bc5c1da259d041cb2a7,3,Dojo,B,cfg_ladder,tp_2x,0.5,3.050132381632486e-22,10.004962,64.5,limit fill at rung level
1789221409.0217621,0xbed21fc650b2642b57355bc5c1da259d041cb2a7,3,Dojo,B,cfg_ladder_stop,tp_2x,0.5,3.050132381632486e-22,10.004962,64.5,limit fill at rung level
1789221409.0217621,0xbed21fc650b2642b57355bc5c1da259d041cb2a7,3,Dojo,B,tp2_half_stop50_6h,tp_2x,0.5,3.050132381632486e-22,10.004962,64.5,limit fill at rung level
1789221475.400722,0x834559fa563b5ffbcb2bf620c08f5c05738a257f,4,FOMO,B,cfg_ladder,tp_2x,0.5,8.144008333282641e-14,10.0,66.4,limit fill at rung level
1789221475.400722,0x834559fa563b5ffbcb2bf620c08f5c05738a257f,4,FOMO,B,cfg_ladder,tp_5x,0.25,2.03600208332066e-13,12.5,66.4,limit fill at rung level
1789221475.400722,0x834559fa563b5ffbcb2bf620c08f5c05738a257f,4,FOMO,B,cfg_ladder_stop,tp_2x,0.5,8.144008333282641e-14,10.0,66.4,limit fill at rung level
1789221475.400722,0x834559fa563b5ffbcb2bf620c08f5c05738a257f,4,FOMO,B,cfg_ladder_stop,tp_5x,0.25,2.03600208332066e-13,12.5,66.4,limit fill at rung level
1789221475.400722,0x834559fa563b5ffbcb2bf620c08f5c05738a257f,4,FOMO,B,tp2_half_trail30,tp_2x,0.5,8.144008333282641e-14,10.0,66.4,limit fill at rung level
1789221475.400722,0x834559fa563b5ffbcb2bf620c08f5c05738a257f,4,FOMO,B,tp2_half_stop50_6h,tp_2x,0.5,8.144008333282641e-14,10.0,66.4,limit fill at rung level
1789221475.400722,0x834559fa563b5ffbcb2bf620c08f5c05738a257f,4,FOMO,B,cfg_ladder_trail30_6h,tp_2x,0.5,8.144008333282641e-14,10.0,66.4,limit fill at rung level
1789221475.400722,0x834559fa563b5ffbcb2bf620c08f5c05738a257f,4,FOMO,B,cfg_ladder_trail30_6h,tp_5x,0.25,2.03600208332066e-13,12.5,66.4,limit fill at rung level
1789221606.17461,0x834559fa563b5ffbcb2bf620c08f5c05738a257f,4,FOMO,B,cfg_ladder,tp_10x,0.15,4.07200416664132e-13,15.0,66.6,limit fill at rung level
1789221606.17461,0x834559fa563b5ffbcb2bf620c08f5c05738a257f,4,FOMO,B,cfg_ladder_stop,tp_10x,0.15,4.07200416664132e-13,15.0,66.6,limit fill at rung level
1789221606.17461,0x834559fa563b5ffbcb2bf620c08f5c05738a257f,4,FOMO,B,cfg_ladder_trail30_6h,tp_10x,0.15,4.07200416664132e-13,15.0,66.6,limit fill at rung level
1789221606.17461,0x94f17efe3540873e1447f3e3640efd4abac3572c,6,DEGENFLY,B,sell_15m,time_exit,1.0,6.606559355291367e-23,9.599504,66.6,
1789221807.137908,0xbed21fc650b2642b57355bc5c1da259d041cb2a7,3,Dojo,B,sell_30m,time_exit,1.0,2.9117899446423005e-22,19.10235,68.7,
1789221807.137908,0x834559fa563b5ffbcb2bf620c08f5c05738a257f,4,FOMO,B,sell_30m,time_exit,1.0,3.5632643540204524e-12,875.064025,68.7,
1789221807.137908,0xe7a8220fa9d8803b14c178b295dd1cb07370a307,5,TOPBLAST,B,sell_30m,time_exit,1.0,7.156721402461096e-23,6.469131,68.7,
1789221874.031648,0xf6085df2f728e8b33c31200ab06effdf030012c3,7,HEDGEHOG,B,*,buy,1.0,1.2079054995747023e-22,-10.007997,0.0,"shared entry via kyber, impact -8.9773, reserve_weth ?; buy 0.00393498 WETH ($10.01) → 8.29e+22 raw via kyber impact -8.98%"
1789221943.0538728,0xf6085df2f728e8b33c31200ab06effdf030012c3,7,HEDGEHOG,B,ctl_exit_immediately,time_exit,1.0,1.2625652626144617e-22,10.460875,69.0,
1789222492.576141,0x5b6e8b6ae33a3a6c3161dae930906153492a6dc6,8,FRONTIER,B,*,buy,1.0,9.311759612934817e-14,-10.0,0.0,"shared entry via router, impact 0.3892, reserve_weth 4384687385140131562; buy 0.00393609 WETH ($10.00) → 1.07e+14 raw via router impact 0.39%"
1789222492.576141,0x834559fa563b5ffbcb2bf620c08f5c05738a257f,4,FOMO,B,trail_30,trail,1.0,3.6709378339539786e-12,901.506404,70.0,
1789222492.576141,0x834559fa563b5ffbcb2bf620c08f5c05738a257f,4,FOMO,B,tp2_half_trail30,trail,0.5,3.6709378339539786e-12,450.753202,70.0,
1789222492.576141,0x834559fa563b5ffbcb2bf620c08f5c05738a257f,4,FOMO,B,cfg_ladder_trail30_6h,trail,0.1,3.6709378339539786e-12,90.15064,70.0,
1789222492.576141,0x94f17efe3540873e1447f3e3640efd4abac3572c,6,DEGENFLY,B,sell_30m,time_exit,1.0,4.336542897630388e-23,6.301111,70.0,
1789222562.624641,0x5b6e8b6ae33a3a6c3161dae930906153492a6dc6,8,FRONTIER,B,cfg_ladder,tp_2x,0.5,1.8623519225869635e-13,10.0,70.0,limit fill at rung level
1789222562.624641,0x5b6e8b6ae33a3a6c3161dae930906153492a6dc6,8,FRONTIER,B,cfg_ladder_stop,tp_2x,0.5,1.8623519225869635e-13,10.0,70.0,limit fill at rung level
1789222562.624641,0x5b6e8b6ae33a3a6c3161dae930906153492a6dc6,8,FRONTIER,B,tp2_half_trail30,tp_2x,0.5,1.8623519225869635e-13,10.0,70.0,limit fill at rung level
1789222562.624641,0x5b6e8b6ae33a3a6c3161dae930906153492a6dc6,8,FRONTIER,B,tp2_half_stop50_6h,tp_2x,0.5,1.8623519225869635e-13,10.0,70.0,limit fill at rung level
1789222562.624641,0x5b6e8b6ae33a3a6c3161dae930906153492a6dc6,8,FRONTIER,B,cfg_ladder_trail30_6h,tp_2x,0.5,1.8623519225869635e-13,10.0,70.0,limit fill at rung level
1789222562.624641,0x5b6e8b6ae33a3a6c3161dae930906153492a6dc6,8,FRONTIER,B,ctl_exit_immediately,time_exit,1.0,2.5501056967141727e-13,27.385863,70.0,
1789222631.2994418,0xf6085df2f728e8b33c31200ab06effdf030012c3,7,HEDGEHOG,B,trail_30,trail,1.0,9.745075314330528e-23,8.074198,68.7,
1789222631.2994418,0xf6085df2f728e8b33c31200ab06effdf030012c3,7,HEDGEHOG,B,tp2_half_trail30,trail,1.0,9.745075314330528e-23,8.074198,68.7,
1789222631.2994418,0xf6085df2f728e8b33c31200ab06effdf030012c3,7,HEDGEHOG,B,cfg_ladder_trail30_6h,trail,1.0,9.745075314330528e-23,8.074198,68.7,
1789222702.974676,0x5b6e8b6ae33a3a6c3161dae930906153492a6dc6,8,FRONTIER,B,trail_30,trail,1.0,1.1598036431602877e-13,12.455258,71.7,
1789222702.974676,0x5b6e8b6ae33a3a6c3161dae930906153492a6dc6,8,FRONTIER,B,trail_50,trail,1.0,1.1598036431602877e-13,12.455258,71.7,
1789222702.974676,0x5b6e8b6ae33a3a6c3161dae930906153492a6dc6,8,FRONTIER,B,tp2_half_trail30,trail,0.5,1.1598036431602877e-13,6.227629,71.7,
1789222702.974676,0x5b6e8b6ae33a3a6c3161dae930906153492a6dc6,8,FRONTIER,B,cfg_ladder_trail30_6h,trail,0.5,1.1598036431602877e-13,6.227629,71.7,
1789222836.086014,0xf6085df2f728e8b33c31200ab06effdf030012c3,7,HEDGEHOG,B,sell_15m,time_exit,1.0,1.0554755328873117e-22,8.745051,66.4,
1789222903.014413,0x5b6e8b6ae33a3a6c3161dae930906153492a6dc6,8,FRONTIER,B,cfg_ladder,tp_5x,0.25,4.655879806467409e-13,12.5,66.9,limit fill at rung level
1789222903.014413,0x5b6e8b6ae33a3a6c3161dae930906153492a6dc6,8,FRONTIER,B,cfg_ladder_stop,tp_5x,0.25,4.655879806467409e-13,12.5,66.9,limit fill at rung level
1789223038.586998,0x1937cad42b17d43bb2b347ce16d5288887c46c33,9,ANTHROPICx1L,B,*,buy,1.0,1.8706673321406693e-18,-9.998553,0.0,"shared entry via kyber, impact 2.2515, reserve_weth ?; buy 0.00393526 WETH ($10.00) → 5.34e+18 raw via kyber impact 2.25%"
1789223038.586998,0x26ae57104396d7b438764738d6d2d0aa4b42cfd5,10,Morty,B,*,buy,1.0,4.4546212101688237e-23,-9.998553,0.0,"shared entry via kyber, impact 100.0000, reserve_weth ?; buy 0.00393526 WETH ($10.00) → 2.24e+23 raw via kyber impact 100.00%"
1789223038.586998,0xbdb158abf54a76402b264e9000b295c4a01fcb66,11,ROBOJENSEN,B,*,buy,1.0,1.0718419538760583e-22,-9.998553,0.0,"shared entry via kyber, impact 1.9177, reserve_weth ?; buy 0.00393526 WETH ($10.00) → 9.33e+22 raw via kyber impact 1.92%"
1789223038.586998,0x481178799fad2af146b009a979df3a0e36ed1e18,12,PACEE,B,*,buy,1.0,4.0107809233601326e-23,-10.00167,0.0,"shared entry via kyber, impact 3.6799, reserve_weth ?; buy 0.00393526 WETH ($10.00) → 2.49e+23 raw via kyber impact 3.68%"
1789223116.065054,0x834559fa563b5ffbcb2bf620c08f5c05738a257f,4,FOMO,B,trail_50,trail,1.0,2.3274615563998414e-12,571.576418,77.5,
1789223116.065054,0x1937cad42b17d43bb2b347ce16d5288887c46c33,9,ANTHROPICx1L,B,ctl_exit_immediately,time_exit,1.0,2.246490730374222e-18,12.007296,77.5,
1789223116.065054,0x26ae57104396d7b438764738d6d2d0aa4b42cfd5,10,Morty,B,ctl_exit_immediately,time_exit,1.0,5.379731318534817e-23,12.074995,77.5,
1789223116.065054,0xbdb158abf54a76402b264e9000b295c4a01fcb66,11,ROBOJENSEN,B,ctl_exit_immediately,time_exit,1.0,1.5803191524220222e-22,14.741824,77.5,
1789223116.065054,0x481178799fad2af146b009a979df3a0e36ed1e18,12,PACEE,B,ctl_exit_immediately,time_exit,1.0,4.7065759998636383e-23,11.736771,77.5,
1789223188.683299,0x26ae57104396d7b438764738d6d2d0aa4b42cfd5,10,Morty,B,stop_30,stop,1.0,3.661055296393597e-24,0.821737,72.6,
1789223188.683299,0x26ae57104396d7b438764738d6d2d0aa4b42cfd5,10,Morty,B,stop_50,stop,1.0,3.661055296393597e-24,0.821737,72.6,
1789223188.683299,0x26ae57104396d7b438764738d6d2d0aa4b42cfd5,10,Morty,B,cfg_ladder_stop,stop,1.0,3.661055296393597e-24,0.821737,72.6,
1789223188.683299,0x26ae57104396d7b438764738d6d2d0aa4b42cfd5,10,Morty,B,trail_30,trail,1.0,3.661055296393597e-24,0.821737,72.6,
1789223188.683299,0x26ae57104396d7b438764738d6d2d0aa4b42cfd5,10,Morty,B,trail_50,trail,1.0,3.661055296393597e-24,0.821737,72.6,
1789223188.683299,0x26ae57104396d7b438764738d6d2d0aa4b42cfd5,10,Morty,B,tp2_half_trail30,trail,1.0,3.661055296393597e-24,0.821737,72.6,
1789223188.683299,0x26ae57104396d7b438764738d6d2d0aa4b42cfd5,10,Morty,B,tp2_half_stop50_6h,stop,1.0,3.661055296393597e-24,0.821737,72.6,
1789223188.683299,0x26ae57104396d7b438764738d6d2d0aa4b42cfd5,10,Morty,B,cfg_ladder_trail30_6h,trail,1.0,3.661055296393597e-24,0.821737,72.6,
1789223334.997795,0x834559fa563b5ffbcb2bf620c08f5c05738a257f,4,FOMO,B,stop_30,stop,1.0,4.69676168457378e-16,0.115343,70.6,
1789223334.997795,0x834559fa563b5ffbcb2bf620c08f5c05738a257f,4,FOMO,B,stop_50,stop,1.0,4.69676168457378e-16,0.115343,70.6,
1789223334.997795,0x834559fa563b5ffbcb2bf620c08f5c05738a257f,4,FOMO,B,cfg_ladder_stop,stop,0.1,4.69676168457378e-16,0.011534,70.6,
1789223334.997795,0x834559fa563b5ffbcb2bf620c08f5c05738a257f,4,FOMO,B,tp2_half_stop50_6h,stop,0.5,4.69676168457378e-16,0.057671,70.6,
1789223410.98802,0x5b6e8b6ae33a3a6c3161dae930906153492a6dc6,8,FRONTIER,B,sell_15m,time_exit,1.0,2.552141453097356e-13,27.407725,76.0,
1789223564.864747,0xbed21fc650b2642b57355bc5c1da259d041cb2a7,3,Dojo,B,sell_1h,time_exit,1.0,1.2623128918402066e-22,8.28121,75.3,
1789223564.864747,0x834559fa563b5ffbcb2bf620c08f5c05738a257f,4,FOMO,B,sell_1h,time_exit,1.0,5.649839088226371e-16,0.138748,75.3,
1789223564.864747,0xe7a8220fa9d8803b14c178b295dd1cb07370a307,5,TOPBLAST,B,sell_1h,time_exit,1.0,3.052315261262824e-23,2.759061,75.3,
1789223564.864747,0xbdb158abf54a76402b264e9000b295c4a01fcb66,11,ROBOJENSEN,B,cfg_ladder,tp_2x,0.5,2.1436839077521167e-22,9.998553,75.3,limit fill at rung level
1789223564.864747,0xbdb158abf54a76402b264e9000b295c4a01fcb66,11,ROBOJENSEN,B,cfg_ladder_stop,tp_2x,0.5,2.1436839077521167e-22,9.998553,75.3,limit fill at rung level
1789223564.864747,0xbdb158abf54a76402b264e9000b295c4a01fcb66,11,ROBOJENSEN,B,tp2_half_trail30,tp_2x,0.5,2.1436839077521167e-22,9.998553,75.3,limit fill at rung level
1789223564.864747,0xbdb158abf54a76402b264e9000b295c4a01fcb66,11,ROBOJENSEN,B,tp2_half_stop50_6h,tp_2x,0.5,2.1436839077521167e-22,9.998553,75.3,limit fill at rung level
1789223564.864747,0xbdb158abf54a76402b264e9000b295c4a01fcb66,11,ROBOJENSEN,B,cfg_ladder_trail30_6h,tp_2x,0.5,2.1436839077521167e-22,9.998553,75.3,limit fill at rung level
1789223711.77698,0xf6085df2f728e8b33c31200ab06effdf030012c3,7,HEDGEHOG,B,sell_30m,time_exit,1.0,1.1960312486284093e-22,9.909614,72.9,
1789223789.257678,0x11646f3ee85699f415820699b60b23372ad81e18,13,WLDLONG,B,*,buy_failed,0.0,0.0,0.0,0,"no route at alert — not opened; ABSENT: no V2 pair, kyber no_route, scanhood no_route"
1789223789.257678,0xd49e16ed2a82026452de8ef28744b63ba5be1e18,14,DECEL,B,*,buy,1.0,1.545540232503475e-22,-10.0,0.0,"shared entry via kyber, impact 0.0000, reserve_weth ?; buy 0.003936 WETH ($10.00) → 6.47e+22 raw via kyber"
1789223789.257678,0xbed21fc650b2642b57355bc5c1da259d041cb2a7,3,Dojo,B,stop_50,stop,1.0,7.26161037404721e-23,4.763868,77.5,
1789223789.257678,0xbed21fc650b2642b57355bc5c1da259d041cb2a7,3,Dojo,B,cfg_ladder_stop,stop,0.5,7.26161037404721e-23,2.381934,77.5,
1789223789.257678,0xbed21fc650b2642b57355bc5c1da259d041cb2a7,3,Dojo,B,tp2_half_stop50_6h,stop,0.5,7.26161037404721e-23,2.381934,77.5,
1789223869.1264682,0xd49e16ed2a82026452de8ef28744b63ba5be1e18,14,DECEL,B,stop_30,stop,1.0,3.712143729646687e-24,0.240184,79.9,
1789223869.1264682,0xd49e16ed2a82026452de8ef28744b63ba5be1e18,14,DECEL,B,stop_50,stop,1.0,3.712143729646687e-24,0.240184,79.9,
1789223869.1264682,0xd49e16ed2a82026452de8ef28744b63ba5be1e18,14,DECEL,B,cfg_ladder_stop,stop,1.0,3.712143729646687e-24,0.240184,79.9,
1789223869.1264682,0xd49e16ed2a82026452de8ef28744b63ba5be1e18,14,DECEL,B,trail_30,trail,1.0,3.712143729646687e-24,0.240184,79.9,
1789223869.1264682,0xd49e16ed2a82026452de8ef28744b63ba5be1e18,14,DECEL,B,trail_50,trail,1.0,3.712143729646687e-24,0.240184,79.9,
1789223869.1264682,0xd49e16ed2a82026452de8ef28744b63ba5be1e18,14,DECEL,B,tp2_half_trail30,trail,1.0,3.712143729646687e-24,0.240184,79.9,
1789223869.1264682,0xd49e16ed2a82026452de8ef28744b63ba5be1e18,14,DECEL,B,tp2_half_stop50_6h,stop,1.0,3.712143729646687e-24,0.240184,79.9,
1789223869.1264682,0xd49e16ed2a82026452de8ef28744b63ba5be1e18,14,DECEL,B,cfg_ladder_trail30_6h,trail,1.0,3.712143729646687e-24,0.240184,79.9,
1789223869.1264682,0xd49e16ed2a82026452de8ef28744b63ba5be1e18,14,DECEL,B,ctl_exit_immediately,time_exit,1.0,3.712143729646687e-24,0.240184,79.9,
1789223945.2265978,0x1937cad42b17d43bb2b347ce16d5288887c46c33,9,ANTHROPICx1L,B,sell_15m,time_exit,1.0,4.5463096709771165e-18,24.299627,76.1,
1789223945.2265978,0x1937cad42b17d43bb2b347ce16d5288887c46c33,9,ANTHROPICx1L,B,cfg_ladder,tp_2x,0.5,3.7413346642813385e-18,9.998553,76.1,limit fill at rung level
1789223945.2265978,0x1937cad42b17d43bb2b347ce16d5288887c46c33,9,ANTHROPICx1L,B,cfg_ladder_stop,tp_2x,0.5,3.7413346642813385e-18,9.998553,76.1,limit fill at rung level
1789223945.2265978,0x1937cad42b17d43bb2b347ce16d5288887c46c33,9,ANTHROPICx1L,B,tp2_half_trail30,tp_2x,0.5,3.7413346642813385e-18,9.998553,76.1,limit fill at rung level
1789223945.2265978,0x1937cad42b17d43bb2b347ce16d5288887c46c33,9,ANTHROPICx1L,B,tp2_half_stop50_6h,tp_2x,0.5,3.7413346642813385e-18,9.998553,76.1,limit fill at rung level
1789223945.2265978,0x1937cad42b17d43bb2b347ce16d5288887c46c33,9,ANTHROPICx1L,B,cfg_ladder_trail30_6h,tp_2x,0.5,3.7413346642813385e-18,9.998553,76.1,limit fill at rung level
1789223945.2265978,0x26ae57104396d7b438764738d6d2d0aa4b42cfd5,10,Morty,B,sell_15m,time_exit,1.0,5.086781488576611e-24,1.141746,76.1,
1789223945.2265978,0xbdb158abf54a76402b264e9000b295c4a01fcb66,11,ROBOJENSEN,B,sell_15m,time_exit,1.0,2.8163089094501143e-22,26.27161,76.1,
1789223945.2265978,0x481178799fad2af146b009a979df3a0e36ed1e18,12,PACEE,B,sell_15m,time_exit,1.0,8.736337292895586e-23,21.785772,76.1,
1789223945.2265978,0x481178799fad2af146b009a979df3a0e36ed1e18,12,PACEE,B,cfg_ladder,tp_2x,0.5,8.021561846720265e-23,10.00167,76.1,limit fill at rung level
1789223945.2265978,0x481178799fad2af146b009a979df3a0e36ed1e18,12,PACEE,B,cfg_ladder_stop,tp_2x,0.5,8.021561846720265e-23,10.00167,76.1,limit fill at rung level
1789223945.2265978,0x481178799fad2af146b009a979df3a0e36ed1e18,12,PACEE,B,tp2_half_trail30,tp_2x,0.5,8.021561846720265e-23,10.00167,76.1,limit fill at rung level
1789223945.2265978,0x481178799fad2af146b009a979df3a0e36ed1e18,12,PACEE,B,tp2_half_stop50_6h,tp_2x,0.5,8.021561846720265e-23,10.00167,76.1,limit fill at rung level
1789223945.2265978,0x481178799fad2af146b009a979df3a0e36ed1e18,12,PACEE,B,cfg_ladder_trail30_6h,tp_2x,0.5,8.021561846720265e-23,10.00167,76.1,limit fill at rung level
1789224104.138038,0x81c532f18c7eb7ba01dc2336e86dd993cfe91e18,15,CRAB,B,*,buy,1.0,2.3719558536811467e-23,-9.999355,0.0,"shared entry via kyber, impact 0.1946, reserve_weth ?; buy 0.00393399 WETH ($10.00) → 4.22e+23 raw via kyber impact 0.19%"
1789224104.138038,0x3d47f1328e52a00b307359314805630ece111e18,16,CRABCOIN,B,*,buy,1.0,5.455791291298237e-23,-9.999355,0.0,"shared entry via kyber, impact 63.4535, reserve_weth ?; buy 0.00393399 WETH ($10.00) → 1.83e+23 raw via kyber impact 63.45%"
1789224181.860739,0x81c532f18c7eb7ba01dc2336e86dd993cfe91e18,15,CRAB,B,ctl_exit_immediately,time_exit,1.0,2.2549936955749825e-23,9.506282,77.7,
1789224181.860739,0x3d47f1328e52a00b307359314805630ece111e18,16,CRABCOIN,B,stop_30,stop,1.0,1.4672676006048359e-24,0.26892,77.7,
1789224181.860739,0x3d47f1328e52a00b307359314805630ece111e18,16,CRABCOIN,B,stop_50,stop,1.0,1.4672676006048359e-24,0.26892,77.7,
1789224181.860739,0x3d47f1328e52a00b307359314805630ece111e18,16,CRABCOIN,B,cfg_ladder_stop,stop,1.0,1.4672676006048359e-24,0.26892,77.7,
1789224181.860739,0x3d47f1328e52a00b307359314805630ece111e18,16,CRABCOIN,B,trail_30,trail,1.0,1.4672676006048359e-24,0.26892,77.7,
1789224181.860739,0x3d47f1328e52a00b307359314805630ece111e18,16,CRABCOIN,B,trail_50,trail,1.0,1.4672676006048359e-24,0.26892,77.7,
1789224181.860739,0x3d47f1328e52a00b307359314805630ece111e18,16,CRABCOIN,B,tp2_half_trail30,trail,1.0,1.4672676006048359e-24,0.26892,77.7,
1789224181.860739,0x3d47f1328e52a00b307359314805630ece111e18,16,CRABCOIN,B,tp2_half_stop50_6h,stop,1.0,1.4672676006048359e-24,0.26892,77.7,
1789224181.860739,0x3d47f1328e52a00b307359314805630ece111e18,16,CRABCOIN,B,cfg_ladder_trail30_6h,trail,1.0,1.4672676006048359e-24,0.26892,77.7,
1789224181.860739,0x3d47f1328e52a00b307359314805630ece111e18,16,CRABCOIN,B,ctl_exit_immediately,time_exit,1.0,1.4672676006048359e-24,0.26892,77.7,
1789224257.2290418,0xbed21fc650b2642b57355bc5c1da259d041cb2a7,3,Dojo,B,ctl_random_exit,random_exit,1.0,1.271868406263559e-22,8.343897,75.4,
1789224340.0933309,0x94f17efe3540873e1447f3e3640efd4abac3572c,6,DEGENFLY,B,sell_1h,time_exit,1.0,4.336816002249244e-23,6.301508,82.9,
1789224340.0933309,0x5b6e8b6ae33a3a6c3161dae930906153492a6dc6,8,FRONTIER,B,sell_30m,time_exit,1.0,6.363722318693096e-13,68.340707,82.9,
1789224340.0933309,0x481178799fad2af146b009a979df3a0e36ed1e18,12,PACEE,B,trail_30,trail,1.0,9.159597832339196e-23,22.841255,82.9,
1789224340.0933309,0x481178799fad2af146b009a979df3a0e36ed1e18,12,PACEE,B,tp2_half_trail30,trail,0.5,9.159597832339196e-23,11.420628,82.9,
1789224340.0933309,0x481178799fad2af146b009a979df3a0e36ed1e18,12,PACEE,B,cfg_ladder_trail30_6h,trail,0.5,9.159597832339196e-23,11.420628,82.9,
1789224420.762074,0xe45034d0c4d0f25aecf4c50b1b67077b23f11e18,17,BINGOCRAB,B,*,buy,1.0,1.0303852774615586e-21,-10.005536,0.0,"shared entry via kyber, impact 100.0000, reserve_weth ?; buy 0.00393825 WETH ($10.01) → 9.71e+21 raw via kyber impact 100.00%"
